DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
23-Apr-2025,IV,"80.20","80.80","79.75","80.10","79.95","79.85","79.93","100.00","74.96",1572152,"12,56,69,280.15",5421
22-Apr-2025,IV,"79.30","80.41","79.20","79.15","80.20","80.10","80.03","100.00","74.96",1056878,"8,45,85,551.69",3671
21-Apr-2025,IV,"78.68","79.30","78.31","78.04","79.25","79.15","78.95","100.00","74.96",1821973,"14,38,53,239.94",5932
17-Apr-2025,IV,"78.08","78.50","77.96","78.08","78.20","78.04","78.22","100.00","74.96",1086581,"8,49,91,513.62",7566
16-Apr-2025,IV,"78.91","79.35","77.95","78.32","78.20","78.08","78.36","100.00","74.96",1263387,"9,89,95,067.60",8813
15-Apr-2025,IV,"77.05","78.80","76.89","76.60","78.50","78.32","77.81","100.00","74.96",1167537,"9,08,51,013.40",6467
11-Apr-2025,IV,"77.50","78.40","76.32","77.15","76.89","76.60","76.59","100.00","74.96",4559182,"34,91,90,989.85",11637
09-Apr-2025,IV,"78.68","78.98","76.47","78.70","77.40","77.15","77.09","100.00","74.96",2252200,"17,36,12,163.42",9945
08-Apr-2025,IV,"77.00","78.99","77.00","76.45","78.79","78.70","78.04","100.00","74.96",1003280,"7,82,94,855.81",5390
07-Apr-2025,IV,"78.20","78.25","76.10","79.13","76.40","76.45","76.66","100.00","74.96",2691266,"20,63,16,702.73",11502
04-Apr-2025,IV,"79.80","81.70","78.40","79.99","79.80","79.13","79.99","100.00","74.96",1876946,"15,01,28,214.49",11944
03-Apr-2025,IV,"78.07","80.14","77.95","78.07","80.11","79.99","79.57","100.00","74.96",1497907,"11,91,95,051.42",12245
02-Apr-2025,IV,"77.64","78.59","77.50","78.00","78.24","78.07","78.10","100.00","74.96",2131283,"16,64,46,208.57",10696
01-Apr-2025,IV,"76.00","78.60","76.00","75.99","78.25","78.00","77.56","100.00","74.96",1264257,"9,80,55,791.76",6563
28-Mar-2025,IV,"75.99","76.25","75.70","75.99","76.00","75.99","76.04","100.00","74.96",4289545,"32,61,71,489.41",9617
27-Mar-2025,IV,"76.00","76.06","75.80","75.98","76.00","75.99","76.00","100.00","74.96",2727019,"20,72,48,809.56",6853
26-Mar-2025,IV,"75.76","76.10","75.60","75.99","75.94","75.98","75.92","100.00","74.96",3723960,"28,27,28,264.35",7079
25-Mar-2025,IV,"76.10","76.30","75.85","76.37","76.02","75.99","76.03","100.00","74.96",4124457,"31,35,63,307.81",8972
24-Mar-2025,IV,"75.90","76.64","75.15","75.92","76.00","76.37","75.86","100.00","74.96",4221753,"32,02,77,830.33",13489
